region,cluster
Белгородская область,3
Брянская область,2
Владимирская область,2
Воронежская область,3
Ивановская область,2
Калужская область,2
Костромская область,2
Курская область,2
Липецкая область,3
Московская область,3
Орловская область,2
Рязанская область,2
Смоленская область,2
Тамбовская область,2
Тверская область,2
Тульская область,2
Ярославская область,2
г. Москва,3
Республика Карелия,2
Республика Коми,2
Ненецкий автономный округ,0
Архангельская область,2
Вологодская область,2
Калининградская область,2
Ленинградская область,2
Мурманская область,2
Новгородская область,2
Псковская область,2
г. Санкт-Петербург,3
Республика Адыгея (Адыгея),2
Республика Калмыкия,1
Республика Крым,2
Краснодарский край,3
Астраханская область,2
Волгоградская область,2
Ростовская область,2
г. Севастополь,2
Республика Дагестан,2
Республика Ингушетия,1
Кабардино-Балкарская Республика,2
Карачаево-Черкесская Республика,2
Республика Северная Осетия — Алания,2
Чеченская Республика,2
Ставропольский край,2
Республика Башкортостан,3
Республика Марий Эл,2
Республика Мордовия,2
Республика Татарстан (Татарстан),3
Удмуртская Республика,2
Чувашская Республика — Чувашия,2
Пермский край,2
Кировская область,2
Нижегородская область,3
Оренбургская область,2
Пензенская область,2
Самарская область,2
Саратовская область,2
Ульяновская область,2
Курганская область,2
Свердловская область,3
Ханты-Мансийский автономный округ — Югра,3
Ямало-Ненецкий автономный округ,0
Тюменская область,3
Челябинская область,2
Республика Алтай,2
Республика Тыва (Тува),1
Республика Хакасия,2
Алтайский край,2
Красноярский край,2
Иркутская область,2
Кемеровская область — Кузбасс,2
Новосибирская область,2
Омская область,2
Томская область,2
Республика Бурятия,2
Республика Саха (Якутия),2
Забайкальский край,2
Камчатский край,2
Приморский край,2
Хабаровский край,2
Амурская область,2
Магаданская область,0
Сахалинская область,0
Еврейская автономная область,2
Чукотский автономный округ,0
