region,cash capita,formal wage,child mortality,disabled,alcoholism,narcotism,gross product,living area,poor living conditions,general morbidity,teen pregnancy,brith,proverty percent,poverty children,poverty pensioner,poverty man,minerals mining,electricity and gas,water and garbage collection,manufacturing industries,industrial production,retail per capita,orhans,adopted children,number of pensioners,pension,living_wage,children %,population,retired %
Белгородская область,30692.5,30920.333333333332,139.21875,2155027.8333333335,76.47500000000001,4.216666666666667,244680.468,17.8,0.4,72686.75,1122.5333333333333,15822.873749999999,14.75769230769231,44.8,12.9,42.3,158411361.2,26791541.65,10532428.475000001,702250454.7475,897985786.0224999,202995.55555555556,215.25,249.375,414591.14285714284,16606.24,9593.0,18.31038564375,1541259.0,27.214285714285715
Брянская область,26015.5,26399.166666666668,154.40625,1131006.6666666667,169.41666666666669,14.049999999999999,123532.82,24.1,0.0,77822.6,881.6333333333333,12637.248124999998,20.042307692307695,44.8,3.7,51.6,296917.6,17344879.15,8773979.425,229727711.45,256143487.625,196209.66666666666,350.5,322.0,291857.5714285714,16274.25,10950.0,18.620792845,1182682.0,27.428571428571427
Владимирская область,23908.333333333332,29127.166666666668,142.78125,1318312.0,121.35000000000001,9.741666666666667,149340.336,16.1,0.0,93964.65,1356.9,14255.8125,23.0923076923077,34.8,4.8,60.4,4849978.175000001,36170907.3725,11442077.2225,468223820.4625,520686783.2325,156336.11111111112,408.5,485.625,396645.14285714284,16415.19,10808.0,17.9897940075,1342099.0,28.914285714285715
Воронежская область,30422.833333333332,30077.0,216.3125,2291731.5,129.575,16.508333333333336,168933.316,19.9,0.1,54782.65,398.3,22572.365625,19.438461538461535,28.5,2.3,69.2,8066536.025,109002283.43249999,14969465.45,482431170.57500005,614469455.4825001,222931.88888888888,207.375,644.5,627980.7142857143,15589.71,9053.0,17.079092595000002,2305608.0,28.485714285714288
Ивановская область,24567.833333333332,24856.666666666668,116.25,828748.6666666666,154.69166666666666,10.558333333333334,98471.104,18.1,0.9,88113.7,685.7666666666668,10306.934375,30.826923076923077,47.5,5.0,47.5,1033696.0,30169063.15,5282217.5,157071216.75,193556193.4,159397.22222222222,402.625,282.5,281335.0,15864.25,10581.0,17.83535117125,987032.0,28.457142857142856
Калужская область,29652.333333333332,36595.166666666664,107.71875,814970.3333333334,121.14166666666665,9.141666666666666,196359.24,15.5,0.0,73392.3,337.09999999999997,10689.56,19.376923076923074,31.1,18.4,50.4,4025444.6249999995,23811903.45,9653256.625,817518945.8499999,855009550.5500001,187557.88888888888,253.375,242.625,259523.14285714287,16659.32,10964.0,18.05518845,1000980.0,27.74285714285714
Костромская область,23997.833333333332,26784.0,90.875,629381.1666666666,105.26666666666667,11.016666666666666,135356.548,14.5,0.9,74140.05,845.6666666666666,7325.060625000001,21.426923076923078,39.9,6.6,53.5,722849.5249999999,37505769.125,3475098.0749999997,133876644.795,175580361.52,152587.22222222222,148.0,188.0,177548.2857142857,15909.41,11010.0,19.904326899999997,628423.0,27.714285714285715
Курская область,27167.833333333332,29162.166666666668,137.90625,1260553.5,146.275,18.05,170308.99200000003,17.1,0.0,54176.85,326.09999999999997,11625.124375,18.44230769230769,34.2,6.5,59.2,92404853.925,59084033.35,7219572.149999999,194623977.70000002,353332437.125,180892.22222222222,276.875,221.625,302172.14285714284,15618.83,9997.0,18.3634055075,1096488.0,28.371428571428574
Липецкая область,29782.0,30319.5,115.6875,1240513.8333333333,139.51666666666662,12.649999999999999,217216.26799999998,16.5,0.0,66858.9,859.6666666666666,11952.746874999999,14.71923076923077,40.0,0.8,59.3,6848052.075,24792685.3,11362149.25,701470848.85,744473735.45,209416.66666666666,290.375,232.75,314819.0,16104.01,9828.0,18.55077305125,1128192.0,28.057142857142853
Московская область,43506.333333333336,49282.333333333336,593.28125,4433168.166666667,83.14166666666667,17.183333333333334,255299.89599999998,14.8,0.5,70404.35,815.5,79399.61249999999,16.03076923076923,49.9,5.7,44.4,13963392.174999999,280464699.6125,94474868.0625,2764884561.6549997,3153787521.505,289690.3333333333,1155.875,1821.125,1751143.5714285714,17659.36,13169.0,18.75572630125,7708499.0,24.514285714285716
Орловская область,24481.833333333332,26455.166666666668,85.125,647316.5,121.95,3.266666666666666,144886.38400000002,18.8,0.3,95950.0,1202.7,7664.8725,20.41923076923077,41.5,8.0,50.5,220494.95,13519922.125,4135223.575,117474747.72500001,135350388.375,167366.44444444444,408.375,226.5,190578.2857142857,16759.66,10378.0,17.96694279,724686.0,28.857142857142858
Рязанская область,25233.333333333332,30737.5,120.4375,1386434.1666666667,106.94166666666666,13.441666666666665,158744.296,19.0,0.1,69944.1,529.9,11123.372500000001,21.315384615384616,37.0,3.3,59.7,1631393.55,39072599.1,6728878.699999999,312083159.425,359516030.775,167230.11111111112,311.25,249.375,305245.85714285716,16213.53,10785.0,17.142944763750002,1098257.0,29.857142857142858
Смоленская область,25576.833333333332,28106.833333333332,105.75,792538.1666666666,150.45,15.783333333333331,150257.084,19.4,1.0,70297.7,545.6666666666666,9159.1225,19.411538461538463,34.7,12.0,53.3,1725722.7,54530737.8,10275663.175,207638354.52500004,274170478.25,171163.44444444444,542.25,282.75,259018.2857142857,15709.36,10752.0,17.02758432125,921127.0,28.0
