region,cash capita norm,formal wage norm,gross product,living area,proverty percent,electricity and gas,retail norm,teen pregnancy,cluster
Белгородская область,3.1994683623475453,3.223218318913096,244680.468,17.8,14.75769230769231,26791541.65,21.160800120458205,1122.5333333333333,3
Брянская область,2.3758447488584475,2.410882800608828,123532.82,24.1,20.042307692307695,17344879.15,17.91869101978691,881.6333333333333,2
Владимирская область,2.212095978287688,2.69496360720454,149340.336,16.1,23.0923076923077,36170907.3725,14.464851139073938,1356.9,2
Воронежская область,3.3605250561508155,3.322324091461394,168933.316,19.9,19.438461538461535,109002283.43249999,24.625194840261667,398.3,3
Ивановская область,2.321881989730019,2.349179346627603,98471.104,18.1,30.826923076923077,30169063.15,15.064476157473038,685.7666666666668,2
Калужская область,2.7045178158822814,3.337756901374194,196359.24,15.5,19.376923076923074,23811903.45,17.106702744334996,337.09999999999997,2
Костромская область,2.1796397214653345,2.4326975476839237,135356.548,14.5,21.426923076923078,37505769.125,13.858966596023816,845.6666666666666,2
Курская область,2.7175986129172083,2.917091794204928,170308.99200000003,17.1,18.44230769230769,59084033.35,18.094650617407446,326.09999999999997,2
Липецкая область,3.0303215303215305,3.08501221001221,217216.26799999998,16.5,14.71923076923077,24792685.3,21.308167141500473,859.6666666666666,3
Московская область,3.3036930164274687,3.742298833118182,255299.89599999998,14.8,16.03076923076923,280464699.6125,21.997899106487456,815.5,3
Орловская область,2.359012654975268,2.5491584762638917,144886.38400000002,18.8,20.41923076923077,13519922.125,16.127042247489346,1202.7,2
Рязанская область,2.3396692937722143,2.850023180343069,158744.296,19.0,21.315384615384616,39072599.1,15.505805388141967,529.9,2
Смоленская область,2.3787977430555554,2.614102802579365,150257.084,19.4,19.411538461538463,54530737.8,15.919219163359788,545.6666666666666,2
Тамбовская область,2.61287417305299,2.5413146001179014,144409.12,19.7,17.476923076923075,15585229.28,18.182812602344924,1675.2666666666667,2
Тверская область,2.276066918058299,2.6823936074699226,153685.604,17.5,21.542307692307695,97523356.29999998,15.774026855010876,632.9,2
Тульская область,2.4949389338424703,3.065369579052641,172046.40399999998,16.6,15.753846153846156,52475929.900000006,16.778909193765088,1103.8999999999999,2
Ярославская область,2.5904261967254096,3.019903762029746,196090.46400000004,15.8,16.17307692307692,44894081.375,16.867881098196058,1165.5,2
г. Москва,3.849774520856821,4.581604659902292,666775.68,13.8,13.246153846153845,821841736.6,21.493980959539023,29.900000000000002,3
Республика Карелия,2.0212970789893867,2.665844838921762,201989.98,17.1,17.588461538461537,26187020.175,13.233219060142137,1420.9666666666665,2
Республика Коми,2.3038717649481706,3.3374636736001464,354481.54400000005,15.5,16.673076923076923,44297418.47,12.800782590787396,2441.1,2
Ненецкий автономный округ,3.525654578603055,3.6792986165372064,2313806.2086956524,20.9,9.053846153846154,3981916.7500000005,9.468033276646597,2943.2333333333336,0
Архангельская область,2.3932651834034875,3.27850020044097,165659.65652173915,16.9,13.833333333333336,33846746.80500001,16.24750283958041,1738.5999999999997,2
Вологодская область,2.3677371368568427,3.0012104771905266,228138.928,16.9,17.86923076923077,40798652.67,13.341675417104188,528.1,2
Калининградская область,2.2559720842987976,2.675190334326382,204617.41200000004,15.6,19.984615384615388,40667273.05,13.517074920004415,486.8333333333333,2
Ленинградская область,2.665264121416128,3.66067263117489,264457.96,17.0,21.519230769230774,144040150.25,18.521864942274192,612.6999999999999,2
Мурманская область,2.3090052474186087,3.1766819011077887,312435.43200000003,17.7,15.803846153846155,57964703.940000005,12.333439911728012,753.3333333333334,2
Новгородская область,2.264446793516561,2.662908151280244,196229.27599999998,17.6,19.51923076923077,20157764.0,16.201834233810978,670.6666666666666,2
Псковская область,2.078504210004953,2.2640649127407277,122982.07200000001,15.0,23.21153846153847,11748870.575,15.112218240441297,661.6666666666666,2
г. Санкт-Петербург,3.652308984047019,4.780156731038343,355494.408,15.7,13.926923076923076,211623404.925,21.129321765090026,519.6333333333333,3
Республика Адыгея (Адыгея),2.7262724449844744,2.691845551505333,107133.48800000001,19.6,25.48076923076923,3044502.0250000004,20.347059088249853,330.1333333333334,2
Республика Калмыкия,1.6380031280921832,2.410306744549778,110568.75200000001,20.2,41.79615384615385,2943488.7249999996,7.090172045070063,132.86666666666667,1
Республика Крым,1.8082144362169648,2.548221058334838,59827.64782608696,19.0,19.583333333333336,39936970.975,11.614491150442477,1852.9333333333334,2
Краснодарский край,3.0258858005505727,2.8760323239499157,190935.80400000003,18.1,20.807692307692307,115584589.76499999,21.08920660292652,887.1,3
Астраханская область,2.214351894746595,2.9525155193180765,186836.00400000002,19.2,20.36538461538462,28662224.7,15.748746615604764,661.6,2
Волгоградская область,2.32147201946472,3.0262233035955663,161774.264,17.9,19.738461538461536,71067731.9375,15.146987924664323,725.4000000000001,2
Ростовская область,2.6497172522480765,2.7969469423070983,152250.328,18.2,18.95,153807890.14499998,19.617152333570242,1309.0666666666666,2
г. Севастополь,2.3574792324792324,2.581739206739207,66155.12608695652,13.7,11.85,9683072.7,12.173196735696736,701.2333333333332,2
Республика Дагестан,2.544035674470457,2.3115304984870204,94801.812,22.5,30.815384615384616,19621097.549999997,18.07437490046186,246.26666666666668,2
Республика Ингушетия,1.5516436459641327,2.4009787823175244,57095.112,27.8,50.49615384615385,1183899.9375,4.602358951243332,274.3,1
Кабардино-Балкарская Республика,1.8185542097663043,2.1854978929066102,84900.384,18.9,29.2923076923077,9138004.9,12.835853004449946,196.5333333333333,2
Карачаево-Черкесская Республика,1.7709610457007559,2.38307223249327,84695.48800000001,18.3,31.630769230769225,9519976.8,7.898003092125891,187.0,2
Республика Северная Осетия — Алания,2.3419423584331236,2.621202895609228,102162.86799999999,16.4,21.973076923076917,9059991.525,15.708556029136505,50.133333333333326,2
Чеченская Республика,2.075667259786477,2.2565836298932385,59785.5,19.2,9.405555555555555,19031511.15,9.808580466587584,418.76666666666665,2
Ставропольский край,2.3251679110838364,2.8864171013603355,120022.11600000001,19.0,24.93076923076923,77458091.94999999,18.079915447819715,607.8333333333334,2
Республика Башкортостан,2.9391227713375363,3.276896481594468,186549.52400000003,17.4,17.692307692307693,132644913.7675,21.397136917271144,988.6333333333332,3
Республика Марий Эл,2.008768366172388,2.729788746699167,119959.90800000001,16.5,35.10769230769231,11831215.7775,12.426817432911278,1042.8999999999999,2
Республика Мордовия,2.003003483329779,2.7764981872467476,129067.204,20.0,29.63076923076923,12515915.0,11.721191440961114,550.6666666666666,2
Республика Татарстан (Татарстан),3.518576388888889,3.5424652777777776,275448.456,16.2,13.38846153846154,139786086.1025,23.276261574074077,724.4333333333334,3
Удмуртская Республика,2.362694719151962,2.9510374248594142,185753.64,14.8,20.92307692307692,40183564.65,14.252795552970074,2360.1,2
Чувашская Республика — Чувашия,1.9297905616755067,2.675064599483204,118592.18399999998,14.2,26.2076923076923,25697725.0075,12.55948819076114,1611.8,2
Пермский край,2.723564490347965,3.2137741300872986,233702.956,16.0,17.211538461538463,123513130.48,18.327103569818437,2082.9333333333334,2
Кировская область,2.096483037659508,2.51437908496732,121634.052,14.9,24.096153846153847,40387686.115,13.713538748832866,822.9666666666666,2
Нижегородская область,3.0411363928525517,3.0696265586836358,195429.78399999999,17.5,16.303846153846152,106809487.195,20.88648926597249,676.6999999999999,3
Оренбургская область,2.4007001366120218,3.015266393442623,222197.16,19.0,21.876923076923074,63039287.6425,15.60880009107468,1172.5333333333333,2
Пензенская область,2.2951092611862642,2.9009018383628167,131569.236,16.9,24.615384615384617,22272335.0,15.89256561452191,713.4333333333334,2
Самарская область,2.576445904032111,2.958234507085082,222190.996,16.9,17.623076923076923,127211276.0075,18.28851182874171,1040.4333333333332,2
Саратовская область,2.221731907382411,2.801699373550687,140879.296,17.8,24.03076923076923,97675384.84,14.66854716828759,1071.3999999999999,2
Ульяновская область,2.259153244064946,2.6678310369364127,138229.24800000002,17.9,21.746153846153845,27296490.200000003,14.230469844966255,661.0,2
Курганская область,1.987546243143258,2.5960741165965047,119218.696,16.7,29.700000000000003,20621190.39,12.634413403070118,1275.6000000000001,2
Свердловская область,3.3472620258235497,3.3930695510153774,240022.08399999997,15.8,15.896153846153844,244949710.18750003,23.316538781547564,1127.6333333333334,3
Ханты-Мансийский автономный округ — Югра,3.1503775959723095,4.365009439899308,880545.547826087,13.9,7.8307692307692305,220242182.79999998,15.33850080413957,1403.8666666666668,3
Ямало-Ненецкий автономный округ,4.6917367788461535,5.607772435897435,1640576.786956522,15.5,5.750000000000001,53939251.0,14.98926282051282,1704.6333333333332,0
Тюменская область,2.456290432414028,3.6730365452275566,290910.77826086956,18.1,13.566666666666668,53001253.010000005,20.79889721181856,1585.4666666666665,3
Челябинская область,2.203065645773979,3.039485398860399,189387.968,16.0,18.065384615384616,129556997.4725,13.929556426084204,1530.5666666666666,2
Республика Алтай,1.8046336979215358,2.7252344894207097,107821.5,14.4,32.926923076923075,2872515.9749999996,10.918585688614668,2231.233333333333,2
Республика Тыва (Тува),1.5106020860658296,3.2627100118668415,92912.776,13.6,45.31153846153847,4803955.2075000005,6.657568754814399,959.3666666666667,1
Республика Хакасия,1.795803306485799,3.0895859827610566,184767.28,17.9,24.18076923076923,51917294.95,12.785078423060618,1032.2666666666667,2
Алтайский край,2.2016289622302745,2.4089707178532955,114429.31599999999,18.0,28.96538461538461,45471965.17,14.156824339764308,1600.0333333333335,2
Красноярский край,2.2771648918511707,3.3920043923491408,337849.376,16.6,19.426923076923078,172422240.635,14.134826391548984,1497.0666666666666,2
Иркутская область,2.031950703833528,3.41093584821677,237599.41200000004,16.3,23.253846153846155,123274329.775,11.86666110276526,1006.0,2
Кемеровская область — Кузбасс,2.224518568361691,3.432471402480054,188432.1,16.3,16.31153846153846,97795766.8425,13.367917374261697,1866.5,2
Новосибирская область,2.406022231602645,2.9095258196144647,196373.77200000003,16.3,25.04615384615385,64822280.66000001,15.301242906055062,1421.5,2
Омская область,2.4934618364974814,3.082736019630634,178710.56399999998,16.9,19.111538461538462,52907289.650000006,16.39346291273839,1132.5333333333335,2
Томская область,2.309746835443038,3.4282419127988746,252385.984,16.9,18.376923076923077,35486983.277499996,12.035377402719174,1009.1,2
Республика Бурятия,1.9849455390686235,2.8048595907997513,126111.24,17.2,29.89230769230769,26144253.657500003,14.239754227591735,1059.1666666666667,2
Республика Саха (Якутия),2.3476679383602637,3.6962148414123277,445547.972,16.5,21.684615384615377,67625405.80250001,12.333221125074806,1822.3666666666668,2
Забайкальский край,1.8411159832807653,2.9520347719055313,141752.932,17.1,34.4076923076923,33936623.075,11.424776264840885,1664.3,2
Камчатский край,2.2362014495446942,3.285766276404633,324625.056,15.9,20.115384615384617,20883110.525,8.221597596481447,1427.3666666666668,2
Приморский край,2.4172549019607845,2.93166963755199,214573.54,15.7,25.407692307692304,66199283.85,14.12609229550406,1630.6666666666667,2
Хабаровский край,2.4772089836641187,2.9020703534802066,249471.188,15.4,19.157692307692308,57531118.0,14.80217098079517,1201.8,2
Амурская область,2.2809682187730966,3.0313624045331364,196049.81199999995,17.3,26.188461538461546,40325051.675,15.215594974131559,1763.2,2
Магаданская область,2.8241398623779808,3.9590734517522805,488520.87200000003,13.8,17.915384615384617,16682955.124999998,10.31321278071158,4021.9,0
Сахалинская область,3.3210374044224014,4.672463318867535,860733.34,17.2,18.892307692307693,18330060.9525,18.265516291244747,3441.4,0
Еврейская автономная область,1.6201024909185262,2.4363107593841895,157024.00400000002,13.8,22.21923076923077,4597385.475,9.395173845355474,1718.4333333333332,2
Чукотский автономный округ,3.1652082725669124,4.061176160117783,724122.6760000001,14.1,11.93846153846154,9914401.924999999,7.010190239408124,1694.3,0
